date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:21	1439918/1439918	---M--	200	added ('OK')	application/pdf	date:Tue,%2014%20Oct%202008%2000:43:35%20GMT	https://www.smartpiggybank.com/images/ModernBaby.pdf	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/ModernBaby.pdf	(from https://www.smartpiggybank.com/)
13:23:21	804/804	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:01:02%20GMT	https://www.smartpiggybank.com/help/tour?num=1	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/toura8e1.html	(from https://www.smartpiggybank.com/help/tour)
13:23:24	946/946	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:01:05%20GMT	https://www.smartpiggybank.com/help/tour?num=0	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/tour6ac9.html	(from https://www.smartpiggybank.com/help/tour?num=1)
13:23:25	22678/22678	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	http://www.google-analytics.com/urchin.js	C:/My%20Web%20Sites/AMEX/www.google-analytics.com/urchin.js	(from https://www.smartpiggybank.com/help/tour)
13:23:25	75600/75600	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/homePage.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/homePage.jpg	(from https://www.smartpiggybank.com/help/tour)
13:23:25	783/783	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:01:06%20GMT	https://www.smartpiggybank.com/help/tour?num=2	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/touraec4.html	(from https://www.smartpiggybank.com/help/tour?num=1)
13:23:26	860/860	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:01:07%20GMT	https://www.smartpiggybank.com/help/tour?num=3	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/tourff1b.html	(from https://www.smartpiggybank.com/help/tour?num=2)
13:23:27	83781/83781	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/createGroup.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/createGroup.jpg	(from https://www.smartpiggybank.com/help/tour?num=1)
13:23:27	54181/54181	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/tour/groupCreatedPage.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/tour/groupCreatedPage.jpg	(from https://www.smartpiggybank.com/help/tour?num=2)
13:23:27	826/826	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:01:08%20GMT	https://www.smartpiggybank.com/help/tour?num=4	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/tour9ec1.html	(from https://www.smartpiggybank.com/help/tour?num=3)
